erpid,year,month,region,inn,ogrn,organization_name,type_name,kind_knm,start_date,end_date,foiv,reasons,risk_category
78220041000100959354,2022,2,Санкт-Петербург,4706026706,1074706001138,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ 'ЭКО-ПРОМ-СЕРВИС',Плановое КНМ,Выездная проверка,2022-02-15,2022-03-01,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля периода времени с даты государственной регистрации организации или гражданина в качестве индивидуального предпринимателя",2
78220041000100966464,2022,2,Санкт-Петербург,4716013946,1024701898121,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ 'ГИМНАЗИЯ №2 Г. ТОСНО ИМЕНИ ГЕРОЯ СОЦИАЛИСТИЧЕСКОГО ТРУДА Н.Ф.ФЕДОРОВА',Плановое КНМ,Выездная проверка,2022-02-14,2022-02-25,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100970270,2022,1,Санкт-Петербург,4716014097,1024701896823,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 15 'ДЕТСКИЙ САД Д.ТАРАСОВО',Плановое КНМ,Выездная проверка,2022-01-24,2022-02-04,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100968700,2022,4,Санкт-Петербург,4716013840,1024701897989,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 11 'ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД Г.НИКОЛЬСКОЕ ',Плановое КНМ,Выездная проверка,2022-04-11,2022-04-22,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100968822,2022,4,Санкт-Петербург,4716014717,1024701898088,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ 'СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 Г.НИКОЛЬСКОЕ',Плановое КНМ,Выездная проверка,2022-04-11,2022-04-22,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100969350,2022,1,Санкт-Петербург,4715016662,1064715013219,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ 'БУМ+',Плановое КНМ,Выездная проверка,2022-01-17,2022-01-28,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля периода времени с даты государственной регистрации организации или гражданина в качестве индивидуального предпринимателя",2
78220041000100972350,2022,3,Санкт-Петербург,4703031916,1024700557122,МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ 'ДУБРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА',Плановое КНМ,Выездная проверка,2022-03-11,2022-03-24,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100976261,2022,2,Санкт-Петербург,4712016600,1024701650709,МУНИЦИПАЛЬНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ 'ДЕТСКИЙ САД КОМБИНИРОВАННОГО ВИДА № 2',Плановое КНМ,Выездная проверка,2022-02-01,2022-02-14,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000101009620,2022,7,Санкт-Петербург,4716024190,1054700602990,ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО 'ТЕПЛОВЫЕ СЕТИ',Плановое КНМ,Выездная проверка,2022-07-04,2022-07-15,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля период времени с даты окончания проведения последнего планового контрольного (надзорного) мероприятия",1
78220041000100988157,2022,6,Санкт-Петербург,4716014298,1024701898605,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 17 'ДЕТСКИЙ САД ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ХУДОЖЕСТВЕННО-ЭСТЕТИЧЕСКОМУ РАЗВИТИЮ ДЕТЕЙ П.ЛЮБАНЬ',Плановое КНМ,Выездная проверка,2022-06-13,2022-06-24,Роспотребнадзор,"(ФЗ 248) Истечение установленного федеральным законом о виде контроля, положением о виде контроля периода времени с даты иного события, установленного федеральным законом о виде контроля, положением о виде контроля, которое ведет к возникновению объекта контроля",1
